exec_time
4404
4402
4493
4568
4988
4584
4384
4413
4456
4382
4779
4588
4321
4228
4531
4311
4513
3974
4378
4807
4590
4147
4244
4469
4422
4362
4668
4553
4570
4717
4331
4428
4604
4699
4217
4398
4536
4670
4355
4348
