exec_time
4026
4666
3958
4634
4644
4465
3977
3828
4754
4050
4825
4939
4541
3964
4248
4027
3991
4185
4331
4389
4176
4497
4247
4588
4206
4270
4017
3890
4125
4098
4436
4217
4640
4184
3990
4192
4353
4362
4597
3787
