exec_time
4453
4900
4487
4647
4543
4457
4744
4367
4242
4502
4548
4829
4688
4600
4604
4609
4452
4281
4427
4512
4899
4581
4079
4483
4567
4677
4528
4499
4668
4752
4466
4622
4520
4211
4756
4411
4506
4401
4382
4442
